Cust ID,MOB,MaxBalanceAmt,CntPurchActMth,TotFinCharge,PctOnlineTrans,PctPromoSale,PayToBalRatio,PctOfflinePymt,CntActiveCards
C#89673604343108,71,148.62,4,12.66,0.480899,0.254615,0.254615,0.019454,2
C#65482396309817,229,434.86,5,25.7,0.095669,0.176643,0.176643,0.350406,5
C#49022607516431,191,367.47,2,28.99,0.094942,0.181878,0.181878,0.423855,2
C#52269848307157,37,237.24,4,14.2,0.414665,0.157754,0.157754,0.016833,1
C#55501396538642,102,112.21,3,14.53,0.713503,0.168588,0.168588,0.013366,3
C#60647294166898,166,1160,4,147.12,0.36091,0.177412,0.177412,0.090737,5
C#92250695344573,189,245.13,4,16.9,0.526664,0.264597,0.264597,0.020267,2
C#98342082457687,111,104.53,1,1.91,0.479327,0.092161,0.092161,0.007773,3
C#64024901126112,155,229.42,3,17.74,0.520525,0.170953,0.170953,0.00712,2
C#81942756642494,106,98.16,2,1.42,0.666486,0.116899,0.116899,0.006251,3
C#2851122642116,157,147,2,1,0.451486,0.092767,0.092767,0.008923,2
C#54759515023311,199,312.27,3,16.99,0.123427,0.191997,0.191997,0.221707,3
C#50000005549862,114,96.67,2,1.24,0.188907,0.146815,0.146815,0.005694,2
C#37131765484091,100,195.53,3,9.1,0.343847,0.232915,0.232915,0.016707,2
C#16326341403518,150,348.52,6,54.5,0.430165,0.328726,0.328726,0.017913,6
C#20553361445754,103,102.87,1,1,0.335847,0.094699,0.094699,0.008527,2
C#3260291500746,80,124.31,2,15.29,0.444256,0.168758,0.168758,0.011322,3
C#61850289513880,62,207.86,3,18.85,0.170815,0.123678,0.123678,0.017266,2
C#29589029268756,129,195.44,2,14.05,0.441042,0.165577,0.165577,0.022361,2
C#99876192361913,124,115.14,4,13.71,0.46155,0.138401,0.138401,0.016485,2
C#5797768394281,130,460.5,4,22.38,0.740803,0.279527,0.279527,0.011638,8
C#74331693275116,77,270.53,8,15.1,0.282429,1.03958,1.03958,0.075438,4
C#20573771233039,118,159.31,1,0.9,0.223416,0.115466,0.115466,0.013039,2
C#31670555643249,175,324.31,3,16.29,0.108259,0.148229,0.148229,0.180334,2
C#22666564093651,148,105.8,2,0.44,0.568227,0.069967,0.069967,0.008133,3
C#11108881488473,174,218.58,2,12.97,0.258555,0.184164,0.184164,0.012037,1
C#93215779191239,104,317.9,2,9.77,0.741565,0.30122,0.30122,0.018578,2
C#98372117029974,144,245.97,2,11.5,0.441325,0.275116,0.275116,0.012969,1
C#98411788555523,174,457.93,8,9.26,0.438206,0.324379,0.324379,0.030992,2
C#47236902741276,145,101.43,1,1.32,0.50451,0.108817,0.108817,0.012596,2
C#59802627774314,260,209.51,9,5.6,0.442883,0.800609,0.800609,0.054802,3
C#49715142734786,121,83.73,2,0.64,0.598173,0.181449,0.181449,0.009946,2
C#64690353142707,113,174.08,2,14.55,0.350792,0.237964,0.237964,0.00935,1
C#66687541054131,50,111.85,1,0.92,0.629984,0.084073,0.084073,0.008421,2
C#40094560980621,122,301.22,2,18.23,0.514127,0.25797,0.25797,0.017215,3
C#17458319683211,127,160.49,3,18.96,0.470708,0.149325,0.149325,0.011437,2
C#57370994699467,40,159.09,3,9.78,0.406097,0.246597,0.246597,0.02258,2
C#7798964231674,89,242.91,3,22.63,0.441671,0.246572,0.246572,0.00653,3
C#12329607036637,154,205.36,5,10.07,0.251304,0.161536,0.161536,0.014316,2
C#9843167282256,146,213.51,2,13.02,0.555219,0.252539,0.252539,0.008207,3
C#58580176393166,158,116.06,1,0.66,0.346016,0.069272,0.069272,0.011117,2
C#40445216022434,187,1738.29,5,419,0.380809,0.164218,0.164218,0.097323,3
C#90759405636408,92,177.98,1,1,0.360092,0.06062,0.06062,0.009998,3
C#48667229883741,125,344.12,4,45.66,0.36106,0.098772,0.098772,0.039431,10
C#60050371068324,212,241.75,3,18.55,0.360447,0.216977,0.216977,0.020399,2
C#22553226184291,79,260.31,3,17.95,0.040359,0.160925,0.160925,0.334543,2
C#65565593870857,177,109.03,5,11.92,0.576573,0.138246,0.138246,0.020198,2
C#34846251161562,123,94.57,1,1.05,0.349382,0.089975,0.089975,0.006324,3
C#50914937221353,157,1061.21,10,298.89,0.485893,0.224105,0.224105,0.092647,5
C#33191572359156,172,119.87,1,0.97,0.519831,0.133466,0.133466,0.008088,2
C#17079255645526,129,66.9,1,0.72,0.615262,0.067635,0.067635,0.012249,3
C#36712881835387,131,256.81,4,18.45,0.40507,0.133893,0.133893,0.014854,2
C#54866409930054,162,1835.82,8,216.5,0.40965,0.19477,0.19477,0.082106,6
C#1579577512817,139,1728.71,11,237.82,0.433831,0.10675,0.10675,0.084684,3
C#69800151080482,128,179.71,4,12.69,0.618124,0.202787,0.202787,0.009393,2
C#96382795283671,96,242.59,8,7.21,0.221011,0.701464,0.701464,0.069476,2
C#65994183530117,118,249.86,4,24.47,0.089483,0.339033,0.339033,0.4594,3
C#80291557282463,80,296.72,4,15.83,0.229921,0.26791,0.26791,0.012408,2
C#57326694880789,187,418.34,5,17.13,0.127267,0.235846,0.235846,0.246707,3
C#4888470512343,175,161.47,3,19.65,0.631578,0.302167,0.302167,0.013942,2
C#36503816097621,118,476.6,7,40.1,0.25436,0.301432,0.301432,0.01849,6
C#25860770815910,157,208.32,2,20.73,0.468481,0.20494,0.20494,0.012287,2
C#46731103935819,133,262.96,4,28.19,0.140305,0.254672,0.254672,0.450186,2
C#82996459904781,134,229.41,4,12.5,0.476976,0.138411,0.138411,0.012623,2
C#6631016202722,178,393.11,1,45.32,0.180944,0.165867,0.165867,0.029566,4
C#94200383971566,68,289.2,5,15.96,0.544116,0.18475,0.18475,0.011732,2
C#25883697954253,207,222.23,3,13.07,0.219804,0.091191,0.091191,0.013134,2
C#46895960206161,155,140.72,1,1.55,0.430118,0.118088,0.118088,0.00998,2
C#36009288845492,133,246.36,4,8.3,0.448221,0.106016,0.106016,0.017653,2
C#5712177309041,171,1157.44,14,162.32,0.189064,0.108663,0.108663,0.095099,3
C#95075977217199,162,288.92,7,18.5,0.31916,0.56148,0.56148,0.075114,3
C#73434833281343,165,1304.03,7,324.67,0.431788,0.085752,0.085752,0.088796,5
C#95881529080284,107,201.5,4,18.62,0.794421,0.224916,0.224916,0.004456,2
C#73137848611414,109,297.09,2,25.14,0.374019,0.175953,0.175953,0.011346,2
C#77285050437482,107,423.28,4,56.07,0.582086,0.186031,0.186031,0.01832,9
C#97362237661566,160,221.78,1,13.8,0.449354,0.162942,0.162942,0.0208,2
C#68482291159789,234,178.99,7,12.41,0.53502,0.556678,0.556678,0.073542,3
C#51975355855669,92,268.53,11,11.52,0.296333,0.724882,0.724882,0.055604,4
C#72165511258471,123,170.98,3,18.92,0.574262,0.111235,0.111235,0.016673,3
C#99214346878889,183,372.51,5,12.63,0.313609,0.399218,0.399218,0.046083,3
C#64593086594593,94,174.01,4,13.22,0.155415,0.222142,0.222142,0.107559,3
C#43486886912272,54,79.49,1,1.02,0.269917,0.089775,0.089775,0.012736,2
C#80604718840010,123,124.69,1,1.24,0.246419,0.123794,0.123794,0.011804,2
C#15366620157375,100,288.95,3,36.25,0.16075,0.086604,0.086604,0.504115,3
C#7795120098348,163,217.91,2,13.95,0.369884,0.246794,0.246794,0.011154,3
C#43781542071264,215,148.59,4,27.27,0.100873,0.23601,0.23601,0.316662,4
C#25258062256023,70,467.7,4,38.31,0.625228,0.221747,0.221747,0.013745,8
C#88199708622125,175,299.65,4,16.48,0.721148,0.272984,0.272984,0.008242,1
C#95656115255414,112,104.84,2,0.1,0.463399,0.105606,0.105606,0.014212,3
C#7237080460674,201,1786.1,5,203.36,0.426011,0.132196,0.132196,0.066005,3
C#68049012892848,182,1758.5,5,207.14,0.439902,0.091443,0.091443,0.061208,7
C#60215028352644,224,316.57,4,19.35,0.098914,0.196091,0.196091,0.421439,3
C#86892181125348,118,84.39,1,1.07,0.613808,0.047136,0.047136,0.007753,3
C#575295739598,136,111.28,1,1.36,0.422791,0.135634,0.135634,0.0114,2
C#80196217870401,75,159.02,2,8.3,0.450885,0.223136,0.223136,0.010036,3
C#92969974798157,115,486.32,4,32.23,0.554937,0.207716,0.207716,0.038371,9
C#4286388956730,41,116.03,1,1.26,0.598806,0.096772,0.096772,0.005219,2
C#71912881644528,178,218.01,6,13.4,0.306429,0.703129,0.703129,0.087709,3
C#44938503063893,114,145.36,3,7.97,0.847271,0.211555,0.211555,0.012575,3
C#16015167401597,158,47.52,3,7.34,0.37639,0.15758,0.15758,0.015441,1
C#68862998795204,155,307.75,5,7.71,0.137653,0.203517,0.203517,0.299119,1
C#77550427835121,206,807.92,8,245.57,0.496249,0.113485,0.113485,0.109015,6
C#68118958654187,102,61.47,2,1.14,0.538558,0.128048,0.128048,0.009996,3
C#56200680996825,221,319.61,3,10.67,0.142499,0.210621,0.210621,0.286752,3
C#84583404794661,134,193.97,4,36.07,0.508533,0.106974,0.106974,0.016347,7
C#46122687049546,188,274.26,4,25.98,0.125342,0.214527,0.214527,0.509456,3
C#88981595655809,108,220.05,3,18.39,0.744379,0.247814,0.247814,0.016727,3
C#93378603897455,231,251.79,8,12,0.302903,0.751343,0.751343,0.066084,4
C#96538020768780,80,170.46,4,16.47,0.560693,0.235362,0.235362,0.016791,2
C#27174944670281,257,345.74,3,21.81,0.108864,0.325642,0.325642,0.241947,2
C#73673524122265,116,86.25,1,1.39,0.389081,0.069724,0.069724,0.01189,3
C#30672679975098,109,447.48,4,41.92,0.257877,0.158626,0.158626,0.023494,9
C#94064303241086,152,138.77,1,1.25,0.5114,0.102611,0.102611,0.011674,3
C#10704426996563,146,84.7,1,0.61,0.525742,0.126502,0.126502,0.009404,3
C#12161287032846,57,89.17,2,1.17,0.264131,0.120027,0.120027,0.0103,2
C#42940560815963,65,133.66,3,15.31,0.491805,0.113305,0.113305,0.017068,1
C#6454648885265,112,173.93,3,14.07,0.689987,0.212555,0.212555,0.013407,1
C#72323954600941,200,1605.92,8,326.29,0.45645,0.148751,0.148751,0.100544,5
C#12487449990365,86,214.29,2,13.21,0.31938,0.252616,0.252616,0.005892,3
C#59072036989529,115,215.07,3,13.24,0.527483,0.180662,0.180662,0.017277,2
C#7651662894274,113,378.91,5,39.71,0.485548,0.190865,0.190865,0.020569,6
C#16645126162367,156,279.66,7,11.36,0.363222,0.448734,0.448734,0.057912,3
C#49890686930572,145,252.52,4,13.45,0.379033,0.247224,0.247224,0.007687,1
C#47927756354157,136,220.51,4,16.76,0.376069,0.188935,0.188935,0.013856,2
C#48652231981038,78,192,4,17.9,0.389838,0.225088,0.225088,0.016277,2
C#17673878695053,195,308.31,13,4.15,0.354549,0.455891,0.455891,0.072278,4
C#22337957912657,113,222.49,4,12.89,0.501376,0.205251,0.205251,0.016471,1
C#22732427289738,175,210.43,2,13.12,0.57634,0.221696,0.221696,0.009663,2
C#60607531258782,148,1770.47,7,249.27,0.179179,0.143829,0.143829,0.103242,4
C#56944726911328,232,293.33,7,13.19,0.553486,0.683579,0.683579,0.057496,5
C#22371266311305,115,231.04,4,20.96,0.5247,0.217113,0.217113,0.017063,2
C#50763696306455,149,114.59,1,1.47,0.387657,0.163679,0.163679,0.009584,2
C#72025458236770,131,316.39,4,3.81,0.144348,0.176772,0.176772,0.387059,4
C#50187817303663,167,98.16,3,36.74,0.492551,0.221647,0.221647,0.029626,11
C#99875740468524,147,170.37,2,19.88,0.50473,0.131577,0.131577,0.011577,2
C#23122116876602,94,182.84,4,14.36,0.581868,0.259801,0.259801,0.016186,2
C#36929637104286,179,319.86,5,27.17,0.140374,0.144341,0.144341,0.465007,2
C#14942361959352,228,1485.85,7,123.85,0.41619,0.154443,0.154443,0.040058,6
C#36933144306450,135,156.24,3,15.28,0.565582,0.247337,0.247337,0.017132,2
C#29641084952303,161,901.5,5,187.08,0.312996,0.147534,0.147534,0.06966,3
C#47233065570714,164,273.64,5,25.72,0.123476,0.386341,0.386341,0.420486,4
C#5964482003438,312,330.77,11,7.03,0.410021,0.396812,0.396812,0.076838,3
C#92015250654980,95,141.35,5,20.04,0.479296,0.19781,0.19781,0.013134,2
C#5326000785552,128,504.46,5,35.37,0.270505,0.176477,0.176477,0.019951,7
C#2513540730761,124,379.09,5,58.95,0.49433,0.246727,0.246727,0.015422,9
C#24573460467918,145,1417.07,10,267.67,0.259849,0.157712,0.157712,0.012489,5
C#20411495571181,118,209.46,2,16.88,0.400426,0.160921,0.160921,0.007015,2
C#94483499152745,213,204.02,9,10.24,0.303194,0.522474,0.522474,0.057045,2
C#72984575238572,120,265.51,5,20.22,0.142429,0.250646,0.250646,0.619324,3
C#51009304198834,202,1491.75,9,190.02,0.416289,0.145618,0.145618,0.084692,2
C#42220994506937,196,505.59,7,12.39,0.252632,1.138792,1.138792,0.05458,2
C#7533704320073,92,171.48,4,15.24,0.386196,0.253378,0.253378,0.014252,2
C#67987241069524,144,97.95,1,1.18,0.544732,0.151423,0.151423,0.006067,2
C#92539420022367,89,113.27,2,0.58,0.486995,0.07332,0.07332,0.002333,1
C#4574436874694,146,423.07,2,34.81,0.509093,0.130487,0.130487,0.035994,5
C#70333907120004,91,733.18,6,24.24,0.440371,0.226457,0.226457,0.022613,9
C#68360602261887,301,360.05,2,18.16,0.161817,0.215597,0.215597,0.446431,4
C#48587520872803,191,358.27,4,31.03,0.104026,0.311503,0.311503,0.240616,2
C#9517119662647,276,393.57,12,18.4,0.49626,0.471313,0.471313,0.086195,2
C#68091486940952,111,235.2,3,11.4,0.315663,0.240809,0.240809,0.017514,2
C#53902362096967,151,117.53,3,14.86,0.469687,0.231956,0.231956,0.016261,2
C#31446971884166,111,214.69,3,12.82,0.497869,0.244715,0.244715,0.016513,2
C#16376278753884,94,422.51,6,51.96,0.514794,0.207702,0.207702,0.01928,4
C#35895941201803,120,237.9,3,13.67,0.502502,0.170925,0.170925,0.020807,1
C#94654356658098,137,190.98,1,16.68,0.636016,0.219956,0.219956,0.010553,3
C#63696116619666,74,132.62,3,12.66,0.502097,0.199083,0.199083,0.0195,3
C#33947250631875,146,125.46,2,27.62,0.113146,0.115434,0.115434,0.379462,3
C#48329405087458,113,124.14,1,1.45,0.551548,0.138648,0.138648,0.012946,2
C#52461095677893,112,105.2,2,1.52,0.53149,0.107428,0.107428,0.003483,3
C#87695984528665,153,113.02,1,8.24,0.397391,0.138238,0.138238,0.015643,2
C#20053956404848,139,103.48,1,0.72,0.336138,0.117346,0.117346,0.008532,1
C#59718931645278,129,124.51,1,1.24,0.464402,0.12733,0.12733,0.005123,2
C#996816087070,112,150.2,3,0.89,0.369126,0.219957,0.219957,0.019893,2
C#86583050934256,134,336.21,4,27.21,0.091329,0.193377,0.193377,0.498982,3
C#96466585339583,58,235.63,3,13.47,0.444007,0.152125,0.152125,0.01956,2
C#87890654891495,74,181.49,3,11.32,0.582573,0.232069,0.232069,0.02257,1
C#92291973324813,129,138.34,2,12.55,0.17988,0.26167,0.26167,0.453067,3
C#47287000803293,175,275.92,4,13.14,0.528479,0.152182,0.152182,0.012823,2
C#51743636375759,127,88.27,2,1.1,0.548562,0.090673,0.090673,0.009655,3
C#10966506914935,158,161.62,1,1.18,0.537745,0.071931,0.071931,0.00977,2
C#3092059135147,128,236.8,3,39.49,0.52585,0.223829,0.223829,0.027782,11
C#84901172400777,165,1806.49,7,160.84,0.337017,0.183446,0.183446,0.075296,3
C#76877772589384,238,382.47,2,24.83,0.080602,0.13102,0.13102,0.453793,2
C#50551400663318,89,134.01,2,0.77,0.590684,0.150729,0.150729,0.009473,2
C#1549319614152,141,61.72,1,1.1,0.224651,0.154536,0.154536,0.007775,2
C#75728888838381,73,192.3,3,14.23,0.315362,0.214141,0.214141,0.01341,2
C#17201033312816,142,200.86,3,17.43,0.497992,0.242201,0.242201,0.011291,2
C#18980399556427,123,146.1,1,1.33,0.552691,0.113881,0.113881,0.01041,2
C#30063567628647,142,127.57,1,0.99,0.456092,0.153413,0.153413,0.006701,2
C#53693779069672,80,254.13,1,14.4,0.41868,0.179199,0.179199,0.005727,2
C#75058260566884,221,1733.29,4,165.3,0.35854,0.246433,0.246433,0.05315,4
C#64404858400645,79,245.17,3,12.84,0.370918,0.23632,0.23632,0.010627,3
C#85638851515432,166,476.32,4,43.67,0.972145,0.195468,0.195468,0.01447,8
C#74326172956009,84,133.37,1,0.96,0.468223,0.148315,0.148315,0.008285,2
C#37643126345115,82,47.11,1,1.15,0.442384,0.146606,0.146606,0.011399,2
C#11824417948749,114,556.27,4,37.61,0.398509,0.165966,0.165966,0.031909,10
C#57267878568929,107,207.05,2,13.59,0.494399,0.280386,0.280386,0.015233,2
C#43076482742645,119,116.94,3,18.93,0.027008,0.17981,0.17981,0.274559,2
C#53208513191420,77,467.98,3,52.68,0.439561,0.160858,0.160858,0.026174,15
C#67332856673398,227,296.53,4,15.45,0.379803,0.571066,0.571066,0.055238,3
C#23430629066998,113,127.5,1,0.49,0.421778,0.090333,0.090333,0.006866,2
C#22015659000894,193,1725.95,8,280.23,0.47208,0.185097,0.185097,0.104656,6
C#8005332018789,114,106.4,3,14.13,0.630271,0.308324,0.308324,0.011637,3
C#64788414111277,126,155.53,2,1.08,0.19407,0.143919,0.143919,0.006579,2
C#84489877945743,223,156.92,4,15.66,0.324792,0.167716,0.167716,0.010111,1
C#30256989947144,29,80.71,2,0.86,0.363365,0.120967,0.120967,0.011451,2
C#59680164827504,239,1393.84,8,266.02,0.455798,0.216283,0.216283,0.072775,4
C#36789133036688,168,1797.3,7,289.51,0.255747,0.175021,0.175021,0.06794,6
C#987288062853,61,176.99,5,7.79,0.684972,0.196221,0.196221,0.014316,2
C#16228203113720,139,312.77,3,18.45,0.523181,0.137674,0.137674,0.015172,1
C#46218150844969,233,300.2,9,14.83,0.21577,0.560423,0.560423,0.055186,3
C#31406946946131,95,235.17,3,14.56,0.354216,0.138885,0.138885,0.014233,3
C#49159998351704,136,1355.57,8,310.08,0.413395,0.174456,0.174456,0.04989,5
C#32838977555203,181,1726.32,5,349.55,0.269658,0.15691,0.15691,0.062089,5
C#14548464706027,140,172.34,3,15.51,0.617354,0.211345,0.211345,0.019406,2
C#80782752764766,218,1841.74,4,170.91,0.616386,0.079881,0.079881,0.065091,4
C#73544820450954,103,418.3,12,18.28,0.333227,0.455447,0.455447,0.066455,2
C#4788324072679,115,232.36,3,15.95,0.472936,0.264024,0.264024,0.017113,1
C#55069405942086,84,338.77,4,13.68,0.676968,0.237934,0.237934,0.015791,2
C#60872734433222,111,252.2,4,53.59,0.472837,0.274998,0.274998,0.011289,8
C#69654895933084,139,461.42,5,62.07,0.325695,0.227498,0.227498,0.027202,7
C#97631924372028,227,1687.45,9,239.07,0.409331,0.162695,0.162695,0.078279,7
C#12186045745448,84,165.39,4,42.72,0.364663,0.265248,0.265248,0.018161,11
C#5639261600057,88,158.64,5,10.88,0.335289,0.206705,0.206705,0.027769,3
C#17334802295840,151,261.22,1,13.14,0.60037,0.122829,0.122829,0.009816,2
C#72872674834027,180,359.66,7,8.25,0.360043,0.812092,0.812092,0.070909,3
